id,name,phone,website_url
83,"QUAKE! Brewing Company, LLC",4048340997,http://www.quakebrewingcompany.com
84,Resolution Brewing Company,9073304523,http://www.resolutionbeer.com
85,"Resolution Brewing Compnay, LLC",9077485297,http://www.resolutionbeer.com
86,RoughWoods Inn,9078325299,http://www.roughwoodsinn.biz
87,Seward Brewing,9074220337,http://www.sewardbrewingcompany.com
88,Silver Gulch Brewing Co,9074522739,http://www.silvergulch.com
89,Skagway Brewing Co,9079832759,http://www.skagwaybrewing.com
90,St Elias Brewing Co,9072607837,
91,Turnagain Brewing,9073011657,
92,12 West Brewing Company,6023395014,http://www.12westbrewing.com
93,12 West Brewing Company - Production Facility,,
94,1912 Brewing,5202564851,http://www.1912brewing.com
95,8-Bit Aleworks,6239251650,http://www.8-bitaleworks.com
96,Arizona Craft Brewing,520369342,
97,Arizona Wilderness Brewing,4804972739,http://Azwbeer.com
98,Bad Water Brewing,5207459175,http://www.badwaterbrewing.com
99,Barley Brothers Brewery,9285057837,http://www.barleybrothers.com
100,Barnstar Brewing,9284422337,http://www.barnstarbrew.com
101,Barrio Brewing Co,5207912739,http://www.barriobrewing.co
102,Beaver Street Brewery,9287790079,http://www.beaverstreetbrewery.com
103,"Beer Research Institute, The",4808922020,http://www.bri.beer
104,BJs Restaurant & Brewery - Chandler,4809170631,http://www.bjsrestaurants.com
105,Black Bridge Brewery,9283773618,http://www.blackbridgebrewery.com
106,Black Horse Brewery,9285379349,http://www.blackhorsebrewery.us
107,BlackRock Brewers,5202073203,http://www.brb.beer
108,Blasted Barley Beer Company,4809675887,http://www.blastedbarley.com
109,Borderlands Brewing Co,5202618773,http://www.borderlandsbrewing.com
110,Brewery in Planning - Sierra Vista,2625013053,
111,"Brewery in Planning - Yuma, AZ",9285020644,
112,"Button Brew House, LLC",5202688543,http://www.button.beer
113,Catalina Brewing Company,5203293622,http://www.catalinabrewingco.com/
114,College Street Brewhouse and Pub,9288542739,
115,Copper Brothel Brewery,5204056721,http://www.copperbrothelbrewery.com
116,Copper Hop Brewing Co/Copper Hop Ranch,,http://www.copperhopranch.weebly.com
117,Copper Mine Brewing Co,5203336140,http://www.copperminebrewing.com
118,Coppertop Alehouse and Still Works,9283517712,http://www.coppertopalehouse.com
119,Corbett Brewing Company,,
120,CRAFT 64,4809460542,http://www.craft64.com
121,Crooked Tooth Brewing Co.,5204445305,http://www.crookedtoothbrewing.com
122,Dark Sky Brewing Co.,9282354525,http://www.darkskybrewing.com
123,Deep Roots Brewing,6023306790,http://www.deeprootsbrewing.com
124,Desert Eagle Brewing Company,4806562662,http://www.deserteaglebrewing.com
125,Desert Monks Brewing Co.,4805257444,https://www.desertmonksbrewing.com/
126,Dillinger Brewing Company,5202072312,http://www.dillingerbrewing.com
127,Dragoon Brewing Co,5203293606,http://www.dragoonbrewing.com
128,Dubina Brewing Co.,6234127770,http://www.dubinabrewing.com
129,Edge Of The World Brewery,9288758710,http://edgeoftheworld.bar
130,Elevate Your Passion Brewing,8883972337,http://www.elevateyourpassion.com
131,Flagstaff Brewing Co,9287731442,http://www.flagbrew.com
132,Flying Basset Brewing,4804261373,http://www.flyingbassetbrewing.com
133,Four Peaks Brewery & Taproom,4803039967,http://www.fourpeaks.com
134,Four Peaks Brewing Co,4803039967,http://www.fourpeaks.com
135,Freak'N Brewing Company,6237385804,http://www.freaknbrew.com
136,Goldwater Brewing Co,4803507305,http://www.goldwaterbrewing.com
137,Good Bad Ugly Brewing Co. @ Tavern+Bowl Westgate,9282088376,http://www.tavernbowlwestgate.com
138,Gordon Biersch Brewery Restaurant - Glendale,6238774300,http://www.craftworksrestaurants.com
139,Gordon Biersch Brewery Restaurant - Tempe,4807360033,http://www.craftworksrestaurants.com
140,Grand Canyon Brewing,,
141,Grand Canyon Brewing Company,8005132072,http://www.grandcanyonbrewingco.com
142,Granite Mountain Brewing,9287785535,http://www.granitemountainbrewing.com
143,Green Feet Brewing,5209771691,http://www.greenfeetbrewing.com
144,Greenwood Brewing LLC,4802089500,http://www.greenwoodbrews.com
145,Helio Basin Brewing Company,6023543525,http://www.heliobasinbrewing.com
146,Helton Brewing Company,,
147,Historic Brewing Company,8554844677,http://www.historicbrewingcompany.com
148,HOP Central Brewery and Taproom,6026971494,http://www.hopcentraltaproom.com
149,Huss Brewing,4802647611,
150,Insurgent Brewing Co. LLC,9289254773,http://www.insurgentbrewingco.com
151,Iron John's Brewing Company,5202373448,http://www.ironjohnsbrewing.com
152,LazyG Brewhouse,4806951218,
153,Lochiel Brewing,4806660915,http://lochielbrewing.com
154,Loco Patron Mexican Brewery,4806997271,http://www.locopatron.com
155,Lonesome Valley Brewing,9285153541,http://www.lonesomevalleybrewing.com
156,Lumberyard Brewing Co Taproom and Grille,9287792739,http://www.lumberyardbrewingcompany.com
157,McFate Brewing Company,4806569100,http://mcfatebrewing.com
158,McFate's Tap + Barrel,4809941275,http://www.fatebrewing.com
159,Mesquite River Brewing,4806567696,http://www.mesquiteriverbrewing.com
160,"Mother Bunch Brewing, Inc.",6023683580,http://www.motherbunchbrew.com
161,Mother Road Brewery and Taproom,9287740492,http://www.motherroadbeer.com/butler-brewery
162,Mother Road Brewing Co,9287749139,http://www.motherroadbeer.com
163,Mudshark Brewing Co,9284532981,http://www.mudsharkbrewingco.com
164,North Mountain Brewing Co,6028615999,http://www.northmountainbrewing.com
165,O.H.S.O. Brewery,6029009003,http://www.ohsobrewery.com
166,O.H.S.O. Brewery - Gilbert,6029009004,
167,O.H.S.O. Eatery + NanoBrewery,6029550358,http://www.ohsobrewery.com
168,Oak Creek Brewery & Grill,9282823300,
169,Oak Creek Brewing Co,9282039441,http://www.oakcreekbrew.com
170,Old Bisbee Brewing,5204322739,http://www.oldbisbeebrewingcompany.com
171,Old Ellsworth Brewing Company,4804330651,http://www.oldebc.com
172,Oro Brewing Company,4803988247,http://www.orobrewing.com
173,Pedal Haus Brewery,4803142337,http://www.pedalhausbrewery.com
174,Peoria Artisan Brewery,6236959357,http://www.peoriaartisanbrewing.com
175,Peoria Artisan Brewery,6235364804,http://www.peoriaartisanbrewing.com
176,Pinetop Brewing Company,9283581971,http://www.pinetopbeer.com
177,Prescott Brewing Co,9287712795,http://www.prescottbrewingcompany.com
178,Prescott Brewing Co - Production Facility,9287712795,http://www.prescottbrewingcompany.com
179,Prison Hill Brewing Co,9282764001,
180,Public Brewhouse,5207752337,http://www.publicbrewhouse.com
181,Pueblo Vida Brewing Co,5206237168,http://www.pueblovidabrewing.com
182,Richter Aleworks,6029086553,http://www.richteraleworks.com
183,Rickety Cricket Brewing,9287532337,http://www.ricketycricketbrewing.com
184,Roadrunner Abbey Brewing,4805708283,
185,Rock Bottom Brewery - Arrowhead,6238788822,http://www.rockbottom.com
186,Saddle Mountain Brewing Company,6239809524,
187,SanTan Brewing Co,4809178700,http://www.santanbrewing.com
188,SanTan Brewing Co,,
189,SanTan Brewing Co - Uptown Chandler,4809178700,
190,Science,,
191,Scottsdale Beer Company,4802191844,http://www.scottsdalebeercompany.com
192,Sedona Beer Company,,http://www.sedonabeerco.com
193,Sentinel Peak Brewing Company,5207779456,http://www.sentinelpeakbrewing.com
194,Sleepy Dog Brewing Co,4809675476,
195,Sonoran Brewing,6025108996,http://www.sonoranbrewing.com
196,State 48 Barrel and Lager House,,
197,State 48 Brewery,,
198,State 48 Brewery,6235841095,
199,Sun Up Brewing Co.,6026708924,http://sunup.beer
200,Sun Up Brewing Company 330,,
201,Ten Fifty Five Brewing,5204618073,http://www.1055brewing.com
202,THAT Brewery - Cottonwood,9282023013,http://www.thatbrewery.com
203,THAT Brewery & Pub - Pine,9284763349,http://www.thatbrewery.com
204,The Address Brewing / 1702 Beer & Pizza,5203251702,http://www.1702az.com
205,The Perch Pub & Brewery,4805808044,http://www.perchpubbrewery.com
206,The Phoenix Ale Brewery,6022755049,http://phoenixale.com
207,The Porch Brewing,,
208,The Shop Beer Co.,6027174237,http://www.theshop.beer
209,Thunder Canyon Brewery,5203963480,http://www.thundercanyonbrewery.com
210,Tombstone Brewing Company,5202226781,http://www.tombstone.beer
211,Trail Crest Brewing Company,9284405085,http://www.trailcrestbrewing.com
212,Two Brothers Scottsdale Tap House and Brewery,4803783001,
213,Uncle Bear's Brewery,4802770765,http://www.unclebearsaz.com
214,Verde Brewing Company,9285678626,http://www.verdebrewing.com
215,Walter Station Brewery,2674216316,http://www.walterstation.beer
216,Wanderlust Brewing Company,9283517952,http://www.wanderlustbrewing.com
217,Whirling Skirmish Brewing Company,6023592489,
218,Wicked Monkey Brewing Co,,
219,Wren House Brewing Company,6022449184,http://www.wrenhousebrewing.com
220,Apple Blossom Brewing Co,4792874344,http://www.appleblossombrewing.com
221,Bentonville Brewing Co,4799037330,http://www.bentonvillebrewing.com
222,Bike Rack Brewing Co,4792686648,http://www.bikerackbrewing.com
223,Bike Rack Brewing Co - 8th Street Market,4793196593,http://www.bikerackbrewing.com
224,Blue Canoe Brewing Co,5014929378,http://www.bluecanoebrewco.com
225,Brick Oven Pizza Co / Brick & Forge Brewing,8702364200,http://www.brickovenpizzacompany.com
226,Brick Oven Pizza Co / Brick & Forge Brewing,8702364200,
227,Bubba Brew's Brewing Company,8703564001,http://www.bubbabrewsbrewingco.com
228,Buffalo Brewing Company At The Water Buffalo,5012311062,http://www.thewaterbuffalo.com
229,Columbus House Brewery,4799353752,
230,Core Brewing - Hot Springs,4793068898,
231,Core Brewing - SoMa,4793068898,
232,Core Brewing & Distilling Co,4793068898,http://www.corebeer.com
233,Crisis Brewing LLC,4795822337,http://www.crisisbrew.com
234,Damgoode Pies,5016642239,http://www.damgoodepies.com
235,Diamond Bear Brewing Co,5017082739,http://www.diamondbear.com
236,Fayetteville Brewing Company,4792631905,http://www.fayettebrew.com
237,Flyway Brewing Co,5018123192,
238,Fort Smith Brewing Company,4792423722,http://www.fsbrewco.com
239,Fossil Cove Brewing Co,4796444601,http://www.fossilcovebrewing.com
240,Foster's Pint & Plate,,http://www.fosterspintandplate.com
241,Gotahold Brewing Company,8023569163,
242,Gravity Brew Works,8704482077,http://www.gravitybrewworks.com
243,Hawk Moth Brewing Co,4796164800,
244,Hog Haus Brewing Co,4792833516,http://www.hoghaus.com
245,JJs Brewing Company,4792632562,http://www.thejbgb.com/
246,Lost 40 brewing,5015545557,
247,Lost Forty Brewing,5013197275,http://www.lost40brewing.com/
248,New Province Brewing Company,4795313233,http://newprovincebrewing.com
249,Norfork Brewing Company,9187066082,http://www.nfbrew.com
250,Ozark Beer Company,4796362337,http://www.ozarkbeercompany.com
251,Prestonrose Farm and Brewing Co.,7075025544,http://prestonrose.squarespace.com
252,Puritan Brew Company,4793012365,http://www.puritanbrewcompany.com
253,Rapp's Barren Brewing Company,8704247288,http://www.rappsbarrenbrewing.com
254,Rebel Kettle Brewing Company,5013742791,http://www.rebelkettle.com
255,Refined Ale Brewery,5012800556,http://www.refinedale.com
256,Rendezvous Junction Brewing Company,4793817501,http://www.rendezvousjunction.com
257,Saddlebock Brewery,4794221797,http://www.saddlebock.com
258,Slate Rock Brewing Company,8703425545,http://www.slaterockbrewing.com
259,SQZBX Brewery,5016090609,http://www.sqzbx.com
260,Stone's Throw Brewing,5012449154,http://www.stonesthrowbeer.com
261,Superior Bathhouse Brewery,5016242337,http://www.superiorbathhouse.com
262,Tiny Tim's Pizza /West Mountain Brewery,4794429090,http://www.facebook.com/pg/tinytimspizza
263,Vino's Pizza Pub Brewery,5013758466,http://www.vinosbrewpub.com
264,Whistleing Springs Brewing Company / Dark Hills Brewery,4792836365,http://www.darkhillsbrew.com
265,10 Barrel Brewing Co,6195782311,http://10barrel.com
266,101 North Brewing Company,7077534934,http://www.101northbeer.com
267,14 Cannons Brewing Company,8186996165,http://14cannons.com
268,1850 Brewing Company,,http://www.1850restaurant.com
269,2 Tread Brewing Co,4152330857,http://www.2treadbrewing.com
270,21st Amendment Brewery,5105952111,http://www.21st-Amendment.com
271,21st Amendment Brewery Cafe,4153690900,http://www.21st-amendment.com
272,2Kids Brewing Company,8584805437,http://www.2kidsBrewing.com
273,3 Disciples Brewing,7072287309,http://www.3disciplesbrewing.com/home
274,3 Iron Brewing Company,9095334892,http://www.3ironbrewingco.com
275,32 North Brewing Co,,
276,411 Broadway Ales,5412706076,
277,47 Hills Brewing Co,6508678476,http://47hillsbrewingcompany.com
278,5150 Brewing At The Brass Tap Rocklin,9162462729,http://www.brasstaprocklin.com
279,559 Local Brewing,5594731875,http://www.fresnobrewingcompany.com
280,6th and La Brea,,http://www.6thlabrea.com
281,7 Sisters Brewing Co,8058687133,http://www.7sistersbrewing.com
282,8 Bit Brewing Company,9516772322,http://www.8bitbrewerycompany.com
283,8one8 Brewing Company,8188352286,http://www.818brewing.com
284,927 Beer Company,8052035265,http://www.cambriabeerco.com
285,Abigaile,3107988227,http://abigailrestaurant.com
286,Abnormal Beer Company,8586182463,http://abnormalbeer.co
287,Absolution Brewing Co,3104904860,http://www.absolutionbrewingcompany.com
288,Absolution By the Sea,6192024152,
289,Acoustic Ales Brewing Experiment,6192992537,http://www.acousticales.com
290,Adobe Creek Brewing Company,4155064565,http://www.adobecreekbrewing.com
291,Aftershock Brewing Co,9519722256,http://www.aftershockbrewingco.com
292,Alameda Island Brewing Company,5102178885,http://www.alamedaislandbrewingcompany.com
293,Alaro Craft Brewery,9164367711,http://www.alarobrewing.com
294,Ale House Brewing Co,4083907574,
295,Ale Industries,9254705280,http://www.aleindustries.com
296,AleSmith Brewing Co,8585499888,http://www.alesmith.com
297,Align Brewing Co,,http://www.facebook.com/alignbrewing
298,All-American Ale Works,9517412771,http://www.all-americanaleworks.com
299,Almanac Beer Company,4159326531,http://almanacbeer.com
300,Alosta Brewing Co,9094558707,http://www.alostabrewing.com
301,Alpenglow Beer Co,,http://www.buckwildbrew.com
302,Alpha Acid Brewing Co,6503944728,
303,Alpine Beer Company,6194452337,http://www.alpinebrewing.com
304,Alta Brewing Company,6197957300,http://www.altabrewing.com
305,Altamont Beer Works,9254432337,http://www.altamontbeerworks.com
306,Alvarado Street Brewery,,
307,Alvarado Street Brewery & Grill,8316552337,
308,Amador Brewing Company,2095071900,http://www.amadorbrewing.com
309,Ambitious Ales,7142962550,http://www.ambitiousales.com
310,Amplified Ale Works,6195871400,http://www.amplifiedales.com
311,Amplified Ale Works Miramar Studio,6503804220,
312,Anacapa Brewing Co,8056432337,http://www.anacapabrewing.com
313,Anaheim Brewery,7147801888,http://www.anaheimbrew.com
314,Anchor Brewing Co,4158638350,http://www.anchorbrewing.com
315,Anderson Valley Brewing Co,7078952337,http://www.avbc.com
316,Angel City Brewery,2136221261,http://www.angelcitybrewery.com
317,Angry Horse Brewing,3235300015,http://angryhorsebrewing.com
318,Anheuser-Busch Inc â Fairfield,7074292000,
319,Anheuser-Busch Inc - Los Angeles,8189895300,
320,Arcana Brewing Company,,http://www.arcanabrewing.com
321,Archaic Craft Brewery At Centro,7142588817,
322,Armistice Brewing Company,5102304966,http://www.armisticebrewing.com
323,Armstrong Brewing Co,6509898447,http://www.armstrongbrewing.com
324,Arrow Lodge Brewing,6264832667,
325,Artifex Brewing Company,9494297805,http://www.artifexbrewing.com
326,Arts District Brewing Company,,
327,Asylum Brewing,9494495191,http://Www.asylumbrewing.beer
328,At Ease Brewing,9167362267,http://www.ateasebrewing.com
329,Auburn Alehouse,5308852537,http://www.auburnalehouse.com
330,Automatic Brewing Co. / Blind Lady Alehouse,6192007522,http://www.blindlady.blogspot.com
331,Aztec Brewing Company,7605987720,http://www.aztecbrewery.com
332,Babe's Bar-B-Que and Brewhouse,7603468738,
333,Back Street Brewery & Tasting Room,6572364050,http://www.backstreetbrew.com
334,Bagby Beer Company,7602709075,http://www.bagbybeer.com
335,Ballast Point Brewing Co / Home Brew Mart,6198517681,http://www.ballastpoint.com
336,Ballast Point Brewing Company,8586952739,http://www.ballastpoint.com
337,Ballast Point Brewing Company,8586952739,http://www.ballastpoint.com
338,Ballast Point Brewing Company,8586952739,
339,Ballast Point Brewing Company,,
340,Ballast Point Brewing Company - Little Italy,6192557213,http://www.ballastpoint.com
341,Bang the Drum Brewery,8587762973,http://www.bangthedrumbrewery.com
342,Barebottle Brewing Company,4159268617,http://www.barebottlebeer.com
343,Barley Forge Brewing,7146412084,http://www.barleyforge.com
344,Barn Brewery,6199558228,http://www.thebarnbrew.com
345,Barrel Brothers Brewing Company,7076969487,http://www.barrelbrothersbrewing.com
346,"Barrel Brothers Brewing Company, LLC",7076969487,http://barrelbrothersbrewing.com
347,Barrel Harbor Brewing Co.,7607343949,http://www.barrelharborbrewing.com
348,Barrel Head Brewhouse,4154166989,http://www.barrelheadsf.com
349,Barrelhouse Brewing,8052961128,http://www.barrelhousebrewing.com
350,Bartlett Hall,4154334332,http://www.bartletthall.com
351,Battlemage Brewing Co,7602166425,http://www.battlemagebrewing.com
352,Bay Bridge Brewing Co,6199347371,http://www.baybridgebrewing.com
353,Bay City Brewing Co.,6197274926,http://www.baycitybrewingco.com
354,Beach Chalet Brewing Co,4153868439,http://www.beachchalet.com
355,Beach Grease Beer Company,,http://www.beachgreasebeerco.com
356,Beachwood BBQ & Brewing,5624364020,http://www.beachwoodbbq.com
357,Beachwood Blendery,,http://beachwoodbbq.com/blendery.html
358,Beachwood Brewing,5103269575,http://www.beachwoodbbq.com
359,Bear Republic Brewing Co,7074332337,http://www.bearrepublic.com
360,Bear Republic Brewing Co - Production facility,7078942722,http://www.bearrepublic.com
361,Bear Republic Brewing Co Pub & Restaurant - Lakeside,7075852722,http://bearrepublic.com
362,Bear Roots Brewing Company,7607264204,http://www.bearrootsbrewing.com
363,Belching Beaver Brewery,7607321415,
364,Belching Beaver Brewery Tavern & Grill,7605995832,
365,Belching Beaver Brewery Vista,7605995832,http://www.belchingbeaver.com
366,Belmont Brewing Co,5624333891,http://www.belmontbrewing.com
367,Benchmark Brewing Co,6197952911,http://www.benchmarkbrewing.com
368,Benoit-Casper Brewing,4086953449,http://www.bcbrewing.com
369,Berryessa Brewing Co,5303042202,http://www.berryessabrewingco.com
370,Berts Brewing Co.,2069139711,
371,Big Bear Lake Brewing Co,9098780283,http://www.bblbc.com
372,Big Bear Mountain Brewery,9098662337,http://www.mountainbrewery.com
373,Big Sexy Brewing Company,9163747332,http://www.bigsexybrewing.com
374,Big Stump Brewing Company,9166687433,http://www.bigstumpbrewco.com/
375,Bike Dog Brewing Co,,
376,Bird Street Brewing,5593094649,http://www.birdstreetbrewing.com
377,Bison Brewing Co,5108125996,http://bisonbrew.com
378,Bitter Brothers Brewing Co.,6199616690,http://www.bitterbrothers.com
379,"Bittersweet Brewing Company, LLC",,http://www.bittersweetbrewing.com
380,BJs Restaurant & Brewery - Brea,7149902095,http://www.bjsrestaurants.com
381,BJs Restaurant & Brewery - West Covina,6268580054,http://www.bjsrestaurants.com
382,Black Cock Brewing Company,7147448410,
383,Black Doubt Brewing Company,7605250462,http://www.blackdoubtbrewing.com
384,Black Gold Brewing Co,6617656550,
385,Black Hammer Brewing,4155002273,http://www.blackhammerbrewing.com
386,Black Magic Brewing,,
387,Black Market Brewing Co,,
388,Black Plague Brewing,7602072949,http://www.blackplaguebrewing.com
389,Black Sands Brewery,4155345194,
390,Blaker Brewing,2095854040,http://www.blakerbrewing.com
391,Blue Frog Brewing Company,7074292337,http://www.bluefrogbrewingcompany.com
392,Blue Note Brewing Company,5303584677,http://www.bluenotebrewing.com
393,Blue Oak Brewing Co,4152739676,http://blueoakbrewing.com
394,Bluebird Brasserie,,http://www.bluebirdbrasserie.com
395,BNS Brewing & Distilling Co.,6199560952,http://www.bnsbrewinganddistilling.com
396,Bolt Brewery,6193037837,http://www.boltbrewery.com
397,Bonaventure Brewing Co,2132360802,http://www.bonaventurebrewing.com
398,Boomtown Brewery,2136178497,http://www.boomtownbrew.com
399,Bootleggers Brewery,7148712337,http://www.bootleggersbrewery.com
400,Bootleggers Brewery,7148712337,
401,Booze Brothers Brewing Co.,7602950217,http://www.boozebrothersbrewery.com
402,Border X,,
403,Border X Brewing,6195010503,http://www.borderxbrewing.com
404,Border X Logan,8584050528,http://www.borderxbrewing.com
405,Bottle Logic Brewing,714660,http://www.bottlelogic.com
406,Bravery Brewing,6619514677,http://www.braverybrewing.com
407,Breakwater Brewing Co,7604336064,http://www.breakwaterbrewing.com
408,Brew Rebellion,9519074844,http://www.brewrebellion.com
409,Brew Rebellion,9519074844,
410,Brewbakers Brewing Co,5596272739,http://www.brewbakersbrewingco.com
411,Brewcaipa Brewing Co.,9092722337,http://www.brewcaipa.com
412,Brewery At Abigaile,3107988227,http://www.abigailerestaurant.com
413,Brewery At Lake Tahoe,5305444369,http://www.brewerylaketahoe.com
414,Brewery At Simmzys Burbank,8189622500,http://www.Simmzys.com
415,Brewery Draconum,6619931846,
416,Brewery in Planning - Appleton,3102089613,
417,Brewery in Planning - Calistoga,,
418,"Brewery in Planning - Camarillo, CA",8054077641,
419,Brewery in Planning - Claremont,,
420,Brewery In Planning - Claremont,,
421,Brewery in Planning - Culver City,,
422,Brewery In Planning - Daly City,,
423,Brewery In Planning - Elk Grove,,
424,Brewery In Planning - FPO,,
425,Brewery in Planning - Los Angeles,3107796045,
426,Brewery in Planning - Los Gatos,,
427,Brewery in Planning - Montclair,,
428,Brewery in Planning - Oakland,,
429,Brewery in Planning - Rancho Cucamonga,9094766934,
430,Brewery in Planning - San Diego,8588882188,http://WWW.gravityheights.com
431,Brewery in Planning - Sherman Oaks,,
432,Brewery in Planning - Stevenson Ranch,8184298572,
433,Brewery In Planning - Vacaville,7073379522,
434,Brewery in Planning - Ventura,8054151211,http://seawardbrewing.com
435,Brewery In Planning- Mission Viejo,,
436,Brewery Rex,9493228599,http://www.breweryrex.com
437,Brewery Twenty Five,8316367640,http://www.brewerytwentyfive.com
438,Brewheim Brewing Company,,http://www.brewheim.com
439,Brewjeria Company,,http://www.brewjeriacompany.com
440,BrewLAB,,http://www.brewlabcraft.com/
441,Brewtality,3104023349,http://www.brewtality.com
442,Brewyard Beer Company LLC,8184099448,http://www.brewyardbeercompany.com
443,Bridal Veil Brewing,2099667837,http://www.facebook.com/Bridal-Veil-Brewing-114925729113371
444,British Bulldog Brewery,5308928759,http://www.britishbulldogbrewery.com
445,Brouwerij West,3108339330,http://www.brouwerijwest.com
446,Bruehol Brewing LLC,7073276768,http://www.bruehol.com
447,Bruery Terreux,7149966258,http://www.thebruery.com
448,"Bruery, The",7149966258,http://www.thebruery.com
449,Buffalo Bills Brewery,5108869823,http://www.buffalobillsbrewery.com
450,Burgeon Beer Company,7608142548,http://www.burgeonbeer.com
451,Burnin Daylight Brewing Company,3107417621,
452,Burning Beard Brewing,6194569185,http://www.burningbeardbrewing.com
453,Calicraft Brewing Co,,
454,California Cider Co.,7078291101,http://www.acecider.com
455,California Wild Ales,,
456,Camino Brewing Co LLC,,http://www.caminobrewing.com
